"Nb","Individual","Code","Nicknames","Sex","EarMark","DOB","DOB Accuracy","FirstRecorded","DateAdult","PresentGp","BirthGp","Mother","Father","DepartureNatalGp","ImmigrationGp1","DateImmigration1","LastSeen1","ImmigrationGp2","DateImmigration2","LastSeen2","ImmigrationGp3","DateImmigration3","LastSeen3","ImmigrationGp4","DateImmigration4","LastSeen4","Reliable data","Comments"
"9","2nd MJ",,,"M",,,,"08/11/2010",,,,,,,"RC",,"08/11/2010",,,,,,,,,,"No",
"1","Aaalva","Aaa","Aalva","M",,"01/01/2019","year","08/10/2020","28/09/2024",,"KB","Aare",,"03/04/2025",,,"03/04/2025",,,,,,,,,,"Yes","Born into KB late 2019.Not recorded. Name changed from Aalva to Aaalva."
"582","Aalwyn","Aal",,"M",,"27/11/2018","day","27/11/2018","05/09/2023",,"BD","Aapie",,"26/01/2024",,,"26/01/2024",,,,,,,,,,,
"507","Aantreklik","Aan",,"M",,"17/10/2017","day","17/10/2017","26/10/2022",,"BD","Aapie",,"06/01/2024",,,"06/01/2024",,,,,,,,,,"Yes","may be mistaken about the fact that his mom is Aapi. Due to observation he maybe Asis son - to check with genetics!"
"258","Aapie","Aapi",,"F",,"11/11/2013","day","11/11/2013",,"BD","BD","Asis",,,,,"Still present",,,,,,,,,,"Yes",
"466","Aaragon","Aara",,"F",,"16/11/2016","day","16/11/2016",,"KB","KB","Aare",,,,,,,,,,,,,,,"Yes",
"241","Aare","Aare",,"F",,"01/01/2012","year","08/02/2013",,"KB","KB","Amazon",,,,,,,,,,,,,,,"Yes",
"490","Aarhus","Aar",,"M",,"09/10/2017","day","09/10/2017",,,"KB","Aare",,"30/01/2023","IF","30/01/2023","01/10/2023",,,,,,,,,,"No",
"548","Aathabasca","Aat","Ath","M",,"01/01/2018","year","26/10/2018",,,"KB","Aare",,"28/03/2023",,,"28/03/2023",,,,,,,,,,"No","Probably born earlier than first seen date"
"284","Adam","Ada","Uplip","M",,,,"14/08/2014",,,,,,,"LT","14/08/2014","14/11/2016",,,,,,,,,,,"Not clear if he appeared before official date, nothing in logbook/remarks to say first seen"
"433","Adder","Add",,"M",,"23/11/2015","day","23/11/2015",,,"BD","Asis",,"04/10/2021",,,"04/10/2021",,,,,,,,,,,
"18","Adonis","Ado",,"M",,,,"09/11/2010",,,,,,,"BD","09/11/2010","08/02/2011",,,,,,,,,,,"Unclear if immigration date is just first seen date, seen regularly until 31-12-10 and then seen once on last seen date"
"1","Afrikaans","Afr",,"M",,"19/10/2010","day","19/10/2010",,,"BD","Asis",,"25/06/2015","AK","29/06/2015","16/02/2016",,,,,,,,,,,
"170","Ahekinkinga","Ahe",,"M",,,,"18/12/2010",,,,,,,"AK","18/12/2010","24/02/2012",,,,,,,,,,,
"131","Akkedis","Akk",,"M",,"07/11/2011","day","07/11/2011",,,"BD","Asis","Lekker","28/05/2016","CR","10/06/2016","20/07/2018",,,,,,,,,,,"seen on last day CR followed 2018/07/20"
