"","X.5","X.4","X.3","X.2","X.1","immigrant_code","group","degree","strength","strength_assoc","eigenvector_centrality","total_scans","total_dyads","X","Mother","BirthGp","DOB","ImmigrationGp1","DateImmigration1","LastSeen1","Tenure","third_birthday","mother_present_all_3_years","mother_days_present","Momcode","mom_present_birth","found_days_birth","mother_avg_elo","ImmigBirthday1","IsPresentOnBirthday","HasConflictsAfterImmig","ConflictCountAfterImmig","elo_one_year_all","elo_one_year_male_male","elo_rating_date_one_year_all","elo_rating_date_one_year_male_male","n_conflicts_one_year_all","n_conflicts_one_year_male_male","elo_end_tenure_all","elo_end_tenure_male_male","elo_rating_date_end_tenure_all","elo_rating_date_end_tenure_male_male","n_conflicts_end_tenure_all","n_conflicts_end_tenure_male_male","immigration_birthday","days_diff_one_year_all","days_diff_one_year_male_male","days_diff_end_tenure_all","days_diff_end_tenure_male_male","degree_normalized"
"1",1,1,1,1,1,"afr","AK",21,34,0.580219401433328,0.830480456915352,31,315,1,"Asis","BD","2010-10-19","AK","2015-06-29","2016-02-16",232,"2013-10-19",TRUE,1097,"asis",TRUE,1097,NA,"2016-06-28",FALSE,TRUE,1,0.303,0.098,"2016-02-03","2015-10-17",7,1,0.303,0.098,"2016-02-03","2015-10-17",7,1,"2016-06-28",146,255,13,122,0.477272727272727
"2",2,2,2,2,2,"mvu","BD",15,26,0.46264631729466,0.665445272310786,23,453,2,"Mamoobi","AK","2010-11-02","BD","2015-06-13","2016-12-17",553,"2013-11-02",TRUE,1097,"mamo",TRUE,1097,NA,"2016-06-12",TRUE,TRUE,4,0.462,0,"2016-03-30","2016-03-30",9,4,0.523,0.539,"2016-12-14","2016-11-10",31,17,"2016-06-12",74,74,3,37,0.25
"3",3,3,3,3,3,"dub","NH",NA,NA,NA,NA,NA,40,3,NA,NA,NA,"NH","2010-11-08","2012-10-27",719,NA,NA,NA,NA,FALSE,0,NA,"2011-11-08",TRUE,TRUE,2,1,1,"2011-09-03","2010-12-17",39,2,0.807,1,"2012-10-09","2012-10-09",70,26,"2011-11-08",66,326,18,18,NA
"4",4,4,4,4,4,"mil","NH",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"NH","2010-11-08","2011-03-30",142,NA,NA,NA,NA,FALSE,0,NA,"2011-11-08",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2011-11-08",NA,NA,NA,NA,NA
"5",5,5,5,5,5,"nap","NH",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,"NH","2010-11-08","2011-01-24",77,NA,NA,NA,NA,FALSE,0,NA,"2011-11-08",FALSE,TRUE,2,0.257,0,"2010-12-17","2010-12-17",3,2,0.257,0,"2010-12-17","2010-12-17",3,2,"2011-11-08",326,326,38,38,NA
"6",6,6,6,6,6,"ado","BD",NA,NA,NA,NA,NA,NA,6,NA,NA,NA,"BD","2010-11-09","2011-02-08",91,NA,NA,NA,NA,FALSE,0,NA,"2011-11-09",FALSE,TRUE,1,0.75,1,"2010-12-23","2010-12-23",2,1,0.75,NA,"2010-12-23",NA,2,1,"2011-11-09",321,321,47,NA,NA
"7",7,7,7,7,7,"bab","NH",16,19,0.563989323514314,0.352048003706906,18,403,7,NA,"BD","2009-01-01","NH","2014-05-19","2016-04-19",701,"2012-01-01",NA,NA,NA,FALSE,0,NA,"2015-05-19",TRUE,TRUE,2,0.384,0,"2014-10-31","2014-10-31",3,2,0.414,0.18,"2016-04-08","2016-04-08",5,4,"2015-05-19",200,200,11,11,0.30188679245283
"8",8,8,8,8,8,"bok","BD",NA,NA,NA,NA,NA,NA,8,NA,NA,NA,"BD","2010-11-09","2010-12-24",45,NA,NA,NA,NA,FALSE,0,NA,"2011-11-09",FALSE,FALSE,0,0.607,NA,"2010-12-24",NA,1,0,0.607,NA,"2010-12-24",NA,1,0,"2011-11-09",320,NA,0,NA,NA
"9",9,9,9,9,9,"lek","BD",NA,NA,NA,NA,NA,58,9,NA,NA,NA,"BD","2010-11-09","2012-04-23",531,NA,NA,NA,NA,FALSE,0,NA,"2011-11-09",TRUE,TRUE,10,0.371,0.06,"2011-08-16","2011-08-16",18,10,0.329,0.144,"2012-03-22","2012-03-14",21,11,"2011-11-09",85,85,32,40,NA
"10",10,10,10,10,10,"lsko","NH",16,25,0.397795760997481,0.269317746340865,15,889,10,NA,"BD","2009-01-01","NH","2014-05-19","2015-06-16",393,"2012-01-01",NA,NA,NA,FALSE,0,NA,"2015-05-19",TRUE,TRUE,3,0.363,0,"2015-04-23","2015-04-23",10,3,0.363,0,"2015-04-23","2015-04-23",10,3,"2015-05-19",26,26,54,54,0.283185840707965
