"","immigrant_code","group","grooming_rate","in_grooming_rate","out_grooming_rate","in_degree_normalized","out_degree_normalized","total_degree_normalized","eigenvector_centrality","total_grooming_days","in_grooming_days","out_grooming_days","days_observed","median_group_size","X","Mother","BirthGp","DOB","ImmigrationGp1","DateImmigration1","LastSeen1","Tenure","third_birthday","mother_present_all_3_years","mother_days_present","Momcode","mom_present_birth","found_days_birth","mother_avg_elo","ImmigBirthday1","IsPresentOnBirthday","HasConflictsAfterImmig","ConflictCountAfterImmig","elo_one_year_all","elo_one_year_male_male","elo_rating_date_one_year_all","elo_rating_date_one_year_male_male","n_conflicts_one_year_all","n_conflicts_one_year_male_male","elo_end_tenure_all","elo_end_tenure_male_male","elo_rating_date_end_tenure_all","elo_rating_date_end_tenure_male_male","n_conflicts_end_tenure_all","n_conflicts_end_tenure_male_male","immigration_birthday","days_diff_one_year_all","days_diff_one_year_male_male","days_diff_end_tenure_all","days_diff_end_tenure_male_male"
"1","afr","AK",0.154639175257732,0.144329896907216,0.0515463917525773,0.227272727272727,0.0681818181818182,0.25,0.15339435132162,15,14,5,97,45,1,"Asis","BD","2010-10-19","AK","2015-06-29","2016-02-16",232,"2013-10-19",TRUE,1097,"asis",TRUE,1097,NA,"2016-06-28",FALSE,TRUE,1,0.303,0.098,"2016-02-03","2015-10-17",7,1,0.303,0.098,"2016-02-03","2015-10-17",7,1,"2016-06-28",146,255,13,122
"2","mvu","BD",0.228346456692913,0.173228346456693,0.188976377952756,0.233333333333333,0.316666666666667,0.333333333333333,0.491052472170152,29,22,24,127,61,2,"Mamoobi","AK","2010-11-02","BD","2015-06-13","2016-12-17",553,"2013-11-02",TRUE,1097,"mamo",TRUE,1097,NA,"2016-06-12",TRUE,TRUE,4,0.462,0,"2016-03-30","2016-03-30",9,4,0.523,0.539,"2016-12-14","2016-11-10",31,17,"2016-06-12",74,74,3,37
"3","dub","NH",0.647058823529412,0.480392156862745,0.480392156862745,0.692307692307692,0.346153846153846,0.692307692307692,1,66,49,49,102,27,3,NA,NA,NA,"NH","2010-11-08","2012-10-27",719,NA,NA,NA,NA,FALSE,0,NA,"2011-11-08",TRUE,TRUE,2,1,1,"2011-09-03","2010-12-17",39,2,0.807,1,"2012-10-09","2012-10-09",70,26,"2011-11-08",66,326,18,18
"4","mil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"NH","2010-11-08","2011-03-30",142,NA,NA,NA,NA,FALSE,0,NA,"2011-11-08",TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2011-11-08",NA,NA,NA,NA
"5","nap","NH",0,0,0,0,0,0,0,0,0,0,5,25,5,NA,NA,NA,"NH","2010-11-08","2011-01-24",77,NA,NA,NA,NA,FALSE,0,NA,"2011-11-08",FALSE,TRUE,2,0.257,0,"2010-12-17","2010-12-17",3,2,0.257,0,"2010-12-17","2010-12-17",3,2,"2011-11-08",326,326,38,38
"6","ado","BD",0,0,0,0,0,0,0,0,0,0,12,35,6,NA,NA,NA,"BD","2010-11-09","2011-02-08",91,NA,NA,NA,NA,FALSE,0,NA,"2011-11-09",FALSE,TRUE,1,0.75,1,"2010-12-23","2010-12-23",2,1,0.75,NA,"2010-12-23",NA,2,1,"2011-11-09",321,321,47,NA
"7","bab","NH",0.0888888888888889,0.0777777777777778,0.0555555555555556,0.113207547169811,0.0566037735849057,0.132075471698113,0.100797249470264,8,7,5,90,54,7,NA,"BD","2009-01-01","NH","2014-05-19","2016-04-19",701,"2012-01-01",NA,NA,NA,FALSE,0,NA,"2015-05-19",TRUE,TRUE,2,0.384,0,"2014-10-31","2014-10-31",3,2,0.414,0.18,"2016-04-08","2016-04-08",5,4,"2015-05-19",200,200,11,11
"8","bok","BD",0,0,0,0,0,0,0,0,0,0,13,35,8,NA,NA,NA,"BD","2010-11-09","2010-12-24",45,NA,NA,NA,NA,FALSE,0,NA,"2011-11-09",FALSE,FALSE,0,0.607,NA,"2010-12-24",NA,1,0,0.607,NA,"2010-12-24",NA,1,0,"2011-11-09",320,NA,0,NA
"9","lek","BD",0.133333333333333,0.133333333333333,0.0444444444444444,0.257142857142857,0.0571428571428571,0.257142857142857,0.147554674950424,12,12,4,90,36,9,NA,NA,NA,"BD","2010-11-09","2012-04-23",531,NA,NA,NA,NA,FALSE,0,NA,"2011-11-09",TRUE,TRUE,10,0.371,0.06,"2011-08-16","2011-08-16",18,10,0.329,0.144,"2012-03-22","2012-03-14",21,11,"2011-11-09",85,85,32,40
"10","lsko","NH",0.0606060606060606,0.0363636363636364,0.0545454545454545,0.0707964601769911,0.123893805309735,0.141592920353982,0.0773915438555381,10,6,9,165,57.5,10,NA,"BD","2009-01-01","NH","2014-05-19","2015-06-16",393,"2012-01-01",NA,NA,NA,FALSE,0,NA,"2015-05-19",TRUE,TRUE,3,0.363,0,"2015-04-23","2015-04-23",10,3,0.363,0,"2015-04-23","2015-04-23",10,3,"2015-05-19",26,26,54,54
